S.No,Credits,Player Role,Player,Team,RoleFlag
1,9.0,WK,Jos Buttler,GT,Captain
2,8.0,BAT,Tilak Varma,MI,Player
3,9.0,ALL,Hardik Pandya,MI,Player
4,7.5,BOWL,Prasidh Krishna,GT,Player
5,9.0,BAT,Shubman Gill,GT,Player
6,8.0,BAT,Sai Sudharsan,GT,Player
7,7.5,WK,Ryan Rickelton,MI,Vice-Captain
8,9.0,BAT,Suryakumar Yadav,MI,Player
9,8.5,BOWL,Trent Boult,MI,Player
10,9.0,BOWL,Jasprit Bumrah,MI,Player
11,9.0,BAT,Rohit Sharma,MI,Player
12,7.5,ALL,Will Jacks,MI,Backup
13,5.5,ALL,Arshad Khan,GT,Backup
14,7.0,ALL,Rahul Tewatia,GT,Backup
15,7.0,BOWL,Ravisrinivasan Sai Kishore,GT,Backup
